id,strategies,round,assets
3,tft,20,376
4,random,20,2198
5,random,20,2249
6,coop,20,303
7,coop,20,322
8,coop,20,301
9,random,20,2179
10,tft,20,373
11,random,20,451
12,random,20,2114
13,tft,20,405
14,defect,20,2987
15,tft,20,369
16,random,20,2214
17,random,20,2072
18,tft,20,402
19,coop,20,321
20,random,20,411
21,defect,20,3276
22,defect,20,3259
23,defect,20,3290
24,random,20,2217
25,random,20,422
26,coop,20,262
27,tft,20,381
28,defect,20,3051
29,tft,20,332
30,tft,20,358
31,random,20,2091
32,defect,20,3149
33,defect,20,3240
34,tft,20,357
35,tft,20,359
36,defect,20,3115
37,tft,20,327
38,defect,20,3350
39,coop,20,289
40,defect,20,3141
41,tft,20,370
42,random,20,2348
43,random,20,2212
44,random,20,2280
45,defect,20,3180
46,random,20,2126
47,coop,20,290
48,random,20,2163
49,random,20,2152
50,defect,20,3350
51,defect,20,3227
52,defect,20,3109
53,tft,20,379
54,tft,20,395
55,coop,20,314
56,tft,20,396
57,tft,20,407
58,defect,20,3013
59,random,20,1970
60,random,20,2448
61,tft,20,367
62,random,20,2038
63,random,20,2085
64,tft,20,390
65,tft,20,387
66,tft,20,375
67,random,20,2199
68,coop,20,341
69,defect,20,3449
70,random,20,2387
71,defect,20,3269
72,random,20,2249
73,tft,20,353
74,coop,20,310
75,defect,20,3208
76,random,20,2332
77,tft,20,432
78,tft,20,384
79,defect,20,3232
80,random,20,2339
81,coop,20,318
82,tft,20,380
83,random,20,2399
84,random,20,2087
85,tft,20,362
86,coop,20,268
87,tft,20,388
88,coop,20,308
89,tft,20,336
90,coop,20,322
91,defect,20,3085
92,coop,20,283
93,coop,20,294
94,defect,20,3169
95,tft,20,398
96,coop,20,289
97,tft,20,391
98,defect,20,3125
99,random,20,2301
0,coop,21,334
1,coop,21,316
2,tft,21,383
3,tft,21,376
4,random,21,2274
5,random,21,2351
6,coop,21,303
7,coop,21,322
8,coop,21,301
9,random,21,2265
10,tft,21,373
11,random,21,451
12,random,21,2198
13,tft,21,405
14,defect,21,3093
15,tft,21,369
16,random,21,2292
17,random,21,2158
18,tft,21,402
19,coop,21,321
20,random,21,411
21,defect,21,3410
22,defect,21,3397
23,defect,21,3430
24,random,21,2283
25,random,21,422
26,coop,21,262
27,tft,21,381
28,defect,21,3173
29,tft,21,332
30,tft,21,358
31,random,21,2171
32,defect,21,3261
33,defect,21,3356
34,tft,21,357
35,tft,21,359
36,defect,21,3239
37,tft,21,327
38,defect,21,3484
39,coop,21,289
40,defect,21,3259
41,tft,21,370
42,random,21,2428
43,random,21,2288
44,random,21,2342
45,defect,21,3288
46,random,21,2188
47,coop,21,290
48,random,21,2239
49,random,21,2246
50,defect,21,3478
51,defect,21,3327
52,defect,21,3213
53,tft,21,379
54,tft,21,395
55,coop,21,314
56,tft,21,396
57,tft,21,407
58,defect,21,3131
59,random,21,2030
60,random,21,2534
61,tft,21,367
62,random,21,2108
63,random,21,2167
64,tft,21,390
65,tft,21,387
66,tft,21,375
67,random,21,2291
68,coop,21,341
69,defect,21,3595
70,random,21,2461
71,defect,21,3403
72,random,21,2329
73,tft,21,353
74,coop,21,310
75,defect,21,3328
76,random,21,2426
77,tft,21,432
78,tft,21,384
79,defect,21,3344
80,random,21,2411
81,coop,21,318
82,tft,21,380
83,random,21,2485
84,random,21,2147
85,tft,21,362
86,coop,21,268
87,tft,21,388
88,coop,21,308
89,tft,21,336
90,coop,21,322
91,defect,21,3193
92,coop,21,283
93,coop,21,294
94,defect,21,3295
95,tft,21,398
96,coop,21,289
97,tft,21,391
98,defect,21,3247
99,random,21,2391
0,coop,22,334
1,coop,22,316
2,tft,22,383
3,tft,22,376
4,random,22,2350
5,random,22,2437
6,coop,22,303
7,coop,22,322
8,coop,22,301
9,random,22,2339
10,tft,22,373
11,random,22,451
12,random,22,2262
13,tft,22,405
14,defect,22,3181
15,tft,22,369
16,random,22,2386
17,random,22,2226
18,tft,22,402
19,coop,22,321
20,random,22,411
21,defect,22,3512
22,defect,22,3531
23,defect,22,3582
24,random,22,2365
25,random,22,422
26,coop,22,262
27,tft,22,381
28,defect,22,3287
29,tft,22,332
30,tft,22,358
31,random,22,2245
32,defect,22,3373
33,defect,22,3468
34,tft,22,357
35,tft,22,359
36,defect,22,3359
37,tft,22,327
38,defect,22,3590
39,coop,22,289
40,defect,22,3401
41,tft,22,370
42,random,22,2504
43,random,22,2386
44,random,22,2434
45,defect,22,3408
46,random,22,2258
47,coop,22,290
48,random,22,2333
49,random,22,2300
50,defect,22,3620
51,defect,22,3433
52,defect,22,3333
53,tft,22,379
54,tft,22,395
55,coop,22,314
56,tft,22,396
57,tft,22,407
58,defect,22,3247
59,random,22,2088
60,random,22,2612
